vendor_code,vendor_name
s1ek,cafe canvas
s1iu,dining bus
s5nx,afza's sweet & desserts - tilagor
t3ix,rasui ghaar
s4tc,oh my grill
s1sx,tin vhai restaurant
s3oj,relish
s7ju,chaat buzzz
t1bp,nuri restaurant
s6gu,hotel mira garden
t6bz,mr. burger-
t4cx,ma store
s3pd,street burger - uposhohor
s4hq,new langthurai chinese restaurant & party center
s6oq,momos
s7qr,cafe 7
s5pw,hattrick cafe & restaurant- old
s6ki,sweet treat - pathantola
s6lx,apollo kitchen
s4ab,cafe bistro
s2zt,eats and treats
t9xe,burger garage
s3qm,rainbow chinese
s6wc,taste of adora-
s2ze,king's
s0zf,shawarma house-
s9cl,red roast-
t4mo,shafique restaurant
s7md,n5
t2oe,food box -
t2oa,twins corner zindabazar
s5xj,cafe la vista
t0af,uttara restaurant -
s5dd,astanaa
s7dd,o.s food
t7nr,red roast
s0tq,mac burger
s9ta,burger bhai
t2ss,fast & fresh
s0xc,fbh restaurant
s9jz,mezbani restaurant & sweetmeat
s1vr,m.s catering & takeaway
s3hl,spicy restaurant
s3rh,ready food
s5wi,the thinking cup cafe & restaurant
s3fl,ripon snacks
s0ij,food queen
t0lg,student cafe
s8rz,cooper burgers
s7eg,shahi chaat
s9dv,gray olive cafe
s9vb,mughal masala
s7wt,tin bhi restaurant 2
t6yk,mahin dim cake point
t0er,cheese master
s3wz,petook
t6yy,laxmi variety & cake shop
s1jr,mughals
u4fk,halal restaurant
s7vv,foodgraphy
s0gh,hotel grand
m4tn,momo kitchen
u0yk,meet up
t3rz,chapai restaurant
t1yb,max food
u0nr,gangchill chinese
t9sk,three brothers kitchen
s6ma,m & z safe food corner
u6ge,nasrin delicious kitchen
t0df,bornali shik burger
s9wt,indian spicy
t0to,crust & bunz
t8rf,la vista hotel
s5zz,akboria tehari ghar
sdpk,brownea kitchen
s8uo,new tasty treat -
u5fw,family corner -
u6ui,food scanner
s5ji,twist & taste- old
t6wl,us to you
t9fi,mofiz mama chotpoti fuchka & doi fuchka
t8kg,nimontron hotel
z3mj,mamma mia
t1hz,mb house
d5zc,new al khairia cafe & restaurant
h1qk,bake master
g5ts,hanif khan tehari ghor
b2yu,burger point terokhadia
s8ex,sushi samurai
s2rl,delis
s9hd,cf five star
t9li,chaat buzz
u6kj,kazi hotel & restaurant
t8vk,varendra foods
t2mt,rowshon hotel
u0xs,elin's kitchen
t3fs,paan garden
s9ve,mexican spicy
t4mn,nilima's home kitchen
t0jq,cooking garden
s7pj,seagull restaurant
s0hj,friends food corner
u6dp,cha with ta -
s9sd,madol khabar ghor
s8ec,foodology
t8kt,godrej
u9lf,allah'r dan biryani house-sarulia
u7zm,nila hotel & restaurant
e5rw,sk food grill house
u3vt,nobab biryani house - jatrabari
c5ik,treat house -
t9ba,akbaria hotel & restaurant
w5qf,belal hotel & restaurant
t8hs,ghoroa rannabanna
t2iy,shokher rannaghor
k3ya,testy food & chinese
u9ht,shahi biriyani & bangla khabar
u9yh,winner winner chicken dinner
s8kf,new siraji restaurant
k85z,palki chinese restaurant & party center
t5nc,family corner
t3rn,saanvi ghee ghor
t1qo,the delicious kitchen
i5me,sayra restaurant & biryani house
s6gg,food crush -
s2sa,shahi delhi darbar
l2kz,b.s rannaghor
t9tr,raihan sheek burger
s2ln,water fall
u0op,vojon restora
t4lq,bite's burger
s6xi,crushteen
b8wz,rubel puri house
t6ml,sraboni hotel
s2aq,adi mohanlal
s3du,golpo kotha foods corner
u4zg,johnny's kitchen
t8el,razia thai & chinese restaurant
s1bh,sub club - shimanto square
u2wa,rifah's food corner
t3ax,food & music
u4ih,petuk home kitchen
s7ky,juice bar & cafe -
h3vl,sobuj burger
s2cl,akbaria plus
t0vb,daba fast food & mini chinese
s9ep,ruchita plus bakery & confectionery
a0fk,family kitchen restaurant
t8yj,rinky fuchka corner
s6or,biyer amontron restaurant and party point
t2tb,zahid vai's special mama halim
t1ny,shoshir rannaghor
mlrp,kazi restaurant
t4ed,quality burger house
s8mb,ekushey hotel
u9rd,saima's home kitchen
t7ah,nasir biryani house
u8uy,haji biryani- chorpara
t1xa,halima ranna ghor
a7xr,anha sweets
y8qn,anna food corner
s9tg,r.m dorbar kitchen
u6we,mostak hotel & restaurant
t5jk,amie homie foods
s1fg,adi mohanlal
u5lz,amena hotel & restaurant
t8gg,shah ruposh hotel & restaurant
t4jq,onik chotpoti & fuchka
u6al,khana khazana -
t1lm,ac market bondhu fuchka
u1lb,hotel d roni
s8dc,kung food
n1jr,shakil puri house
t9hc,havana bar-b-q
s8mi,koyla
v5au,new family restaurant
u0dh,tfc - kazipara
w1oi,zafran hotel & restaurant - bagmara
u5ti,tutul hotel & restaurant
t8ky,paris pastry shop -
q8nx,spice lab
t5ay,sultan's territory
t2dw,sharmin ranna ghor
t1gd,irfan - food corner
t7xm,spring onion thai chinese & szechuan restaurant
t7vu,new bismillah kabab
s9wr,melting moments
s5ig,blaxican
t7wj,al-amin chop house
s4sr,red olive restaurant
u6br,puran dhaka nanna biryani
t2ck,glories
u9wp,adi chomchom ghor
t5ks,simla restora & mini chinese
r8du,zara's kitchen -
t1jt,hotpot
u1pq,new cp five star -
u2tz,al madina restora -
t9ti,ekushe songho hotel
s4yc,kellafote - cafe & juice
u3cy,ishak burger
t0gp,good food corner
s1ci,new friends restaurant - 2
qebk,peshwarain
c7re,special burger
c0te,good food
u3rh,vojon bilash -
t4dp,tonu'r rannaghor
t3tm,payra foods
t5ix,manna salwa
t3at,akbar bhaier chotpoti mama fuchka
t2uq,pach tara hotel & restaurant
f7oe,runa's recipe
t4lw,babu chotpoti & fuchka
s8ch,mughals-shaheb bazar
w6zf,gaffer burger
t1au,food shoili
e7ui,garden food corner
s1xb,the celebration cafe with rr
s6wh,fuchka garden
s5dr,shimanto obokash restaurant
t0uw,shamim bhaiyer bahari chotpoti fuchka & doi fuckha
u3ta,new dafodil hotel
s4ml,ruchita plus bakery and sweets
s6cc,mughals - new market
y3yt,royal park residence hotel
t3he,osthir biryani
t2dc,bismillah mini chinese
t0ij,new treat cafe
t9td,insta bite
i5ka,the food house -
s1gq,amontron billiard club & fast food
t2su,shahi kalai house
u4aj,padma kebab & biryani
t9kv,islamiya misti ghor
s6vr,shifat foods
s0tl,o.n. food corner
t2ot,polas chop house
t6hw,las vegas
t0rg,nusaib mini chinese
u5wl,siyam biryani ghor
s6tt,nawab's kitchen
s6tq,amigos -
u7ma,dhaka haji biryani - notun bazar
u1ux,chicken chaap terminal
s8vn,terminal 10
t4jl,snoopy fast food
q4rj,sr. yummy burger shop
u8xn,fars hotel & resorts
q1kx,kuthi bari
x6mq,pizza bari
t2gy,sadik food court
s2ux,café hot & cool
s1qs,new friends food
s2nt,ruchita plus
s6gd,food view
t4qt,bamboo fast food
t5em,burger war
h8gx,pizza oven -
t6xk,colino's bangladesh
t1eb,sofura hotel and restaurant
t0nj,biswas hotel
t3wu,new hotel and restaurant
u7mo,sumon burger house
u5tw,balcony
u0qv,panda kitchen
q2oc,mobassira food
t0wr,river view food & restaurant
t5ue,khana khajana
t9ep,rani bazar kalai ghor
u3mv,rokomari rannaghor
t9zr,allahar daan tehari ghor
s3ky,chef's platter
s7un,kurkure fried chicken (kfc)
t2bx,bosonto biryani
n4si,new tasty treat
s0fw,burger khor
t4rr,vai bon chotpoti and fuchka
t5nq,hafsa & nafsa hotel and restaurants
t3io,ghorowa juice bar
s2tt,world cuisine
u8ga,f.a juice bar
s0rz,ziz fast food & chinese -
t1kj,ohi kalai ghar
d4co,sweets zone
u1pz,bismillah home kitchen
s2ol,momo mia-
s7ct,bengal bakery & confectionary
z1ig,stadium canteen
s1rr,bengal bakery & pastry shop
s2ag,sheana mishti bari
t6sw,tarek restaurant
f5va,pasta inn
d9uf,oboshor
p3gt,eat & smile
t3rr,mama special chotpoti
u1rk,lazeez food
s9xg,golgappazz
u3yf,mayer doa foods
t8pt,hfc food corner
t9ci,annopurna canteen
s0iv,drom
t4se,erfan paan store
s0ig,badshahi voj
s5xi,food-o-vation
t6tj,white restora
s2qo,nusrat bekary & pastry shop
s8aw,bangaliana restaurant
t2lw,red chilli mini chinese
s7fr,bangladesh fried chicken & pizza - rajmoni ishakha
t5sr,saleha's achar & dry food
t9fn,allahr daan chotpoti fuchka
t8io,asha restaurant
q1wi,mayer doya hotel & restaurant - mirpur 2
t5ax,oh sahoo
s5jy,golpo kotha bialann
u2iz,ariful haleem corner
s6rq,arabian kitchen
t4qd,atithi appayon
t3zr,panda kalai ghor
s5ru,tania's kitchen
s9sq,the yummy cafe
u1ar,golpo kotha-food's cart
t3wk,bhat bhorta & biryani
a9nj,u.m. kitchen
t2id,liton vai er hotel
r9pf,me & mom's home kitchen
u4ke,the westin
t9yl,flame on sky
s0ko,phoron (ফোঁড়ন)
t8lk,.com burger
t3jg,food dude
t2rh,hunger's point -
t6px,partner fast food and chinese restaurant
t6ko,mama halim -
t9gk,sfc -
t7kh,meals on vans sub & shawarma
s8gk,moja bites
t4th,raha food house
t7or,food mama
t9jn,molla bari rannaghor
t8uw,shahjalal dosa express
t5cv,mamma miaaa restaurant
u8kh,shuvo poori house
t4sm,khabar ghor hotel & restaurant
t0ww,ruchita plus factory
t3ab,kabbo kothar adda
s9pa,d'oregano
t0ti,akboria kabab burger
s8ud,food club
r4pu,bismillah chinese restaurant
u0wb,pizza lane
t6sf,chaap chabai kebab & bbq
t1wj,mishti bari and bakery
t5su,food express
t4at,food dude 2
s9mz,bengal bakery
t7lz,noor foods corner
u9cb,ridi delicious kitchen
c7rc,borna rannaghor
t7vn,bite's burger fastfood & cafe
s1qt,sushi samurai
t0xi,tiffin time restaurant
x5zh,cafe adda fast food & chinese restaurant
u7wo,adi khabar ghor
u9vy,sohel restaurant & biriyani
u0eg,rajokio foods
t1sy,riham chop house
t3ai,nijam chotpoti & fuchka house
u2bz,lahori biryani ghor
t9kl,burger station mohammadpur
j9tc,floor five restaurant & cafe
u1vp,nanyang kopitiam
t0hu,lazeez juice & food corner
t6ef,flambeau
g9ch,nipa's kitchen - jatrabari
t1yw,hotel barcelona
u1na,khaddo kutir
t1oi,biteful
u8qw,munni's kitchen -
t8pj,mary montana
u7oc,sonarbangla hotel & restaurant
u6ox,mahima food
t2sk,yamin's kabab
u7sb,foodies home kitchen
t2wg,ananda food house
i7ds,nusrat baking home
u7bd,alpha catering - mirpur
u1jn,badol bakery & pastry shop
t1ry,banglafresh restaurant
u2cs,bangali bari and yogurt
u1mw,arohi food point
u8mf,seven hill
u4gt,munni's kitchen
t6ia,prashon
l1oc,burger 69
s3lu,tripty biryani house
t5mu,kabab darbar
u0yw,pizza go - dhanmondi
t8ew,tea town cafe
t7ux,hungry burger
u4wh,cafe baundully
t5fv,mistangong & dhansiri hotel and restaurant
u0gq,homely - rampura
u3pp,bhai bondhu chotpoti house
k0mv,bachelor point - mirabazar
t8vy,dana pani coffee shop
t5cm,country foods
u1nl,online food and catering service
u2ha,savory food
s2kf,delicious hut
u1no,khaled kitchen - monipuri para
o6qh,dhanmondi pizza house
t3hq,ananda snacks
u1zc,craving cafe
s7mq,cafe d paris
t3mq,allahar dan biryani & restaurant -
u3mx,yasmin's kitchen
u6fc,khichuri zone
t2bu,bankers club cafe & restaurant
u5be,nanyang kopitiam
o2ew,homemade lunch with tabassum
i7bp,cafe brunchilli
t1va,hotel vip inn chinese thai and fast food restaurant
f8tr,mayer doa shahi haleem
f3ir,glorious dine - rampura
u5sq,mukta kitchen
z8bz,bismillah bhuna khichuri
u0fm,ma babar dua chop house
s6su,peppe's piri piri
u9ns,shaad ghar
u3yg,bismillah fruits & juice corner
u3pq,food bar - mohammadpur
u2ts,khabar 1819
g9tj,zafrin's table
g2ta,al - madina biryani house - narayanganj
c6re,cooked by ruma
i0uu,ranna bari
u2kl,anower mishtanna vander
t9ji,burger boss
u1nh,red flower
u2la,iyyaz kitchen
t9df,heisenberg lab
g2uj,hangout restaurant - khilgaon
d6wu,wings cafe
u0be,nanyang kopitiam
s5gs,papa order cafe & shakes
t5dn,fresh food studio
t7sh,jalal miar chotpoti
t9cx,kutu baburchi shahi biryani ghor
u7td,liya & licha food corner
s9yk,khushily tiptop restora
t0hc,kath koyla
t7bx,gustoso live kitchen
c3yv,gopal mishtanno bhandar
t1qw,bismillah hotel - comilla
r3by,meal & bakers
u6ta,dall's tasty paradise
m1ei,hungry spoon
t2nq,friends restaurant
u6gf,al arafa restaurant and sales service
t3um,sumon fast food - keraniganj
o4yi,jawad mishti ghor
t8ip,blue heaven
t2ab,dfc - uttara
q9kj,mayer doa shahi haleem
u2li,din islam food products
t2mr,tasty bite
z1qw,shuvo food corner
u3gy,city foods
x7rt,juice bar - mirpur
f0mz,shahi borhani
u4hp,r.s. catering
s1mq,ghorer khabar - banasree
c4dr,aladdin biryani
s1yd,marico fast food
t9hz,frango frito fast food & restaurant
s9ys,gelatissimo
l1bg,sunmoon hotel & restaurant
s8wr,happy house coffee bar
h6lk,adelyn's dine
a0am,sholoanna bangaliana
u3aw,alpha catering - mirpur
t6rs,bikrampur biryani house
u6qv,ashik food corner
s1sc,nfc fast food & coffee house
u8gd,food flip
t3ei,hotel appyon
u7nq,mina's kitchen
u4qn,kebabjee's
n3uu,coffee bar
u6ub,shams restaurant
t5py,nasta
s7rg,roll n roaster
t6jb,burger station mohammadpur
r1ve,kitchen - dilu road
s6nn,food value
u7pi,tisha's kitchen
d6sh,biryani bro's
u8ye,cafe s cube - uddan
u5wx,enayaa's kitchen
t3jy,muslim hotel - comilla
k5xl,food queen - mirpur
u4mk,twenty 20 snacks
t6iq,swiss burger
a3dl,alfaz food lovers
t1ag,ruhi's kitchen
t1hv,a.f.c all food corner
t9tv,first bites
s8mu,brixton cafe & restaurant
u9oz,oven & fried
u4ut,safwa's food corner
t5fd,preety food & beverage ltd
g2ou,parcel - moghbazar
t6zo,dania fast food corner
t9pm,new singapore burger
t2yf,comilla famous doi chira
s8fe,treat n eat - old
w6cc,tutul khabar hotel
u7uz,hanif hotel & fast food - 2
t9nb,cold war cafe
u8tr,abir sweetmeat bakery & confectionery
x6vu,seven star restaurant -
d9op,khaibani- bagerhat
v7qj,mithu's kitchen
q8sb,somoyer shopno food care
t6ox,fc chicken
u2mm,haji biryani - narayanganj
g1pz,chahat kitchen
u4iy,doi chira & sweets
u3de,faruk doi fuchka
a5yu,trisha's kitchen
l0zw,food mood kitchen
s7vz,bangladesh fried chicken & burger house
j2re,la luna restaurant
u2wp,iris
g0ov,nanyang kopitiam
u1mc,jannat food kitchen
u8xh,spicy bites -
t4hf,maa khabar point & biryani house
f2xx,3 chefs
f6fe,sabiha kitchen
s5el,kewra cafe & restaurant
u3vb,bhojon roshik
t9sr,food delicacy
j9yu,mumin foods - bashundhara
u5gt,ss kitchen
s2mq,nusrats desserts
t0xk,prashan
s5nz,the godfathers
u2jo,taco bell
u9ch,yummy pizza
u8ws,khabar dabar restaurant
l1am,biryani house
u3fa,baharipod food house
a2xj,mukhrochok bhoj
s8gc,quality food
x7aw,biryani bazar
y2mu,rj kitchen
u1gn,tehari time
u9jg,lfc burger point
u8sx,ash kitchen
e5iw,makka hotel & biryani house
k1zh,choroibhati
u9mi,home town food
u7ui,poonam's kitchen
x7lq,mark cafe home made resto
t4je,titu tea store
u4ve,shad parcel
u2qz,nirar rannaghor
u1ne,lunch box - banani
u9mp,kacchi darbar by trattoria
q9mk,zara's kitchen - kalabagan
t6oj,shahi ruti gosh
t4pj,fahim dairy farm
s2dl,hunger break
u5zx,cafe baundully
o6vv,shahebi biriyani house
l1ib,parinita kitchen
s4of,cafe star chef
q4hd,khabar thali - banasree
s4ej,happy belly - mohammadpur
u4qb,suchona sweets & doi ghor
u0jp,pizza fair - bashundhara
u0ik,bristy's kitchen
t2tv,k's burger
t2qd,crispy & crunchy
t3hz,shad biryani house - rayer bazar
s2sv,rupchada restora - tejgaon
e6yc,food palace - mirpur
k6ew,indian masala
u1hx,mom's kitchen & juice bar
t0jl,aflatun nahar's kitchen
s7tr,arabiana restaurant - days hotel
t1sn,liton chotpoti house
t5ii,fahad kitchen
u5vt,bithy's kitchen
v6qv,dhanshiri kitchen
u0ky,kitchen cuisine
t8sh,mishti bari
s8oo,kabab factory
t6vn,new dawat restaurant & cafe
u1dd,cold factory juice bar & coffee
p5nl,ma'r dowa hotel
b1so,sumi apar ranna ghar
z7ip,raja kitchen club
t4vc,saiful chotpoti & noodles house
u2gx,pasta house
k5qp,roshuighor
u2va,kamal juice corner
u9cs,green view biryani house
y9ae,family kitchen - adabor
o2nh,fat boy -
s6dq,nawab chatga
u8za,lalbagh catering house
m6zy,akhi's kitchen - north shahjahanpur
t5yn,star biryani house
u8hd,food dude - panthapath
s5ag,bonefish restaurant
o3ja,rafan treat house
u8fp,shat ronger rannaghor
u9uq,rajowan doi ghor & mistanno bhandar
u2zw,pushpa's dine
t7fq,doraemon restaurant
s3bo,food corner - banasree
u3hk,cook n eat
u7ru,bella oregano
t8ac,cafe adda & khichuri
u1fb,cafe dropout
t1ut,the cloud kitchen
t8jt,chef crystal
u7dp,creamy creations
t7ew,doi kham - dhanmondi
p1jt,hungry helper
u6hg,juice world - nobabgonj
u0aa,rannaghor restora
s7qn,pure sugarcane
q5vf,mayami - khilgaon
u6te,ideal bakery and food plaza
u9rc,cloves kitchen
u8lr,samir biriyani house
u6mb,7th floor kitchen
u0so,cheap & tasty
t5qa,bismillah fuchka ghor
s9ph,fresh food -
p4tw,eat lovers - wari
u1gx,the great taste restaurant
s1ry,food express - mirpur-old
u0ra,chasara
l7zx,jfc - jatrabari
o4qj,salam mamar fuchkar dokan
u6jo,public dinner
c9tz,heshel ghor - lalbagh
g1hx,firefly corner
u1ep,shamoli's various product
t4xo,roshbilash sweets and ruti ghor
s8ty,matir hari cafe juice bar
t7kb,a.malancho
u7gx,tahira's kitchen
u8aw,voj bari food & juice corner
t0xa,hazi nanna biriyani house
t5ei,ghorer chowa chinese restaurant and party center
x7ry,boishakhi fuchka & chotpoti house -
t0sm,heo-biryani
u6bw,bismilla food cart
u1zw,maa biryani house -
t5ju,burger hat & sweets
u4bn,foron fast food & catering service
l4xa,purba's homemade sweets
t4xl,ffc fast food corner
t5ko,labonis kitchen
t4dx,shaad restora -
a4be,lubna's kitchen
t0en,al-baraka hotel and restaurant
s7he,one sip coffee
t1rg,jannatul homemade restaurant
u2ym,burger gravity
u3bl,valentine's kitchen
s9iy,hebbi taste
u7jh,bakery house
u1pf,saha homemade food
t9sa,grand manin restaurant
t4yc,oitijjhobahi nanna biriyani - 1
j4iq,burger&sub star
t4ic,vojon rosik
t3vl,noor hotel & restaurant - chankharpul
t8id,cafe popeyes
b7pf,meherpur khaberghor
v4sb,voirob hotel & restaurant
m6ac,jessir hesel ghor
u8ct,ghor boron
u1xz,toqi's kitchen
u9bp,shader haat home kitchen
e4yf,cafe garden
u3jn,anamika's kitchen -
s3ny,thanda garam
s7hw,unicafe
s9wm,little yellow
u0vr,food village
s3sz,baily-bar-b-q
t1uk,big bite - sonargaon road
t0tm,xompesh
s7jh,dark house -
s1cc,thanda garam
s2pq,cafe wanderlust
u1ib,absolute korean
u4zo,the courtyard at park heights
t9mz,abacus - active
t0xq,the chocolate room
ufia,asian bar-be-cue restaurant
s8lh,thanda garam
y5ak,pizza maker
s7it,thanda garam
t3da,mr. pizza
s2az,wait & see - chain
s7iu,thanda garam
t5vl,coffee time - chain
s7fg,chinatown
h9pt,little yellow
s3eo,unicafe
u3xm,o' play
s8ev,jingling chinese restaurant
u7nl,la jawaab
s9go,nawab chatga
j9ex,holy fries - chain
s3bp,aaheli kabab & restaurant
s2nb,rustic eatery
s9vq,bistro e
u0ni,absolute korean
u8eb,cheese bite - banasree
s6db,little yellow - 
u0oe,city mahal chinese restaurant
s4gr,pizza roma
s4jh,food village
s1eu,lean nation
t8fe,steak republic
u0pe,holy fries - chain
s7vd,pizza roma
k0gv,muslim sweets
s0uv,perfe (eat better food)
t4lb,fresh pizza
s0ew,urban spoon
t7nu,queen's confectionery
krpl,bindu burger
z6fx,mizan chotpoti house
s3md,jalapenos
t5xx,jannat hotel
m5ga,bengal meat deli
u6ws,taste co. - mirpur
g4st,bengal meat deli
t3ns,bhojon bilash
u9dw,bengal meat deli
w1po,five star (fried chicken palace)
b4qt,cheer's juice world
u6es,alkaderia express
s7ar,butlers chocolate cafe
s5pp,dosa express
n3h0,muslim sweets
u2kt,bengal meat deli
x3bh,coffee shake bar
t8pn,jol torongo cafe
s6in,bd bites
u4za,r f c fast food
t0jd,ameena restaurant & biriyani house
t0vx,shader bahar hotel and restaurant
u2nn,cp five star
v3sv,muslim sweets
s3ht,queen's confectionery
k020,capawcino cat cafe
yt48,royal inn
s2jl,foodies park
t3ej,adi ashta banjan
s5xh,bhaat ghor
s1cj,perfe (eat better food)
u5gw,kazi biryani house -1
t6ba,sweet & savoury
u5ht,vaggokul sweets
i2ls,river view cafe & restaurant
t8pa,dosa express
d3nd,faruk mamar purnima chotpoti & fuchka house
s2xt,queen's confectionery
gqze,flavours music cafe
t9wk,food mail
s8sf,mr. manik foods
s5nf,time out
s1qk,caffix
t3mh,burger zoom
t3sz,happy tummy catering bd
u8ot,mad burger (naddo)
u8je,meal deal
s3ck,saiham sweets & food
u5jz,pizza planet
s5tp,al-rahmaniya biryani & kabab ghor - goran
s8nr,muslim sweets
byxh,baklava
s5gr,queen's confectionery
t9xh,salt & butter restaurant
t4ig,food palace restaurant
s2rx,yo momo
u4me,bengal meat deli
u2wj,apon angina restaurant
s4sd,haveli
s5ou,perfe (eat better food)
s1gr,drumstick - indian spicy
t1zj,new shad biriyani house - mohakhali
u6dg,muslim biryani limted - shantinagar
w6wm,bengal meat deli
s1ai,muslim sweets
t2ul,new restora
s9vy,cafe avengers
t3wi,captain cook
t7cs,calorie kitchen restaurant and cafe
t2xu,classy cheese
u7fz,nokxi bari
s2hi,tota
t2lf,hungry peeps
s7gy,kitchen's story
u9rq,angle gift
r8fc,spicy meal
m5sy,israt's food zone
t0gd,modina juice & coffee corner
t7ms,starburst restaurant
t3gz,hang 10 burgers
s7lv,baby shark
s6rt,pasta plus
s5mx,saltu mamar dawat - azimpur
u2hx,tero parbon
x2lv,burger basement -
u2ur,mb food corner
t8ch,americana cafe
s9kj,mfc - badda
t7tp,cafe arty
u7un,atithi hotel -
u0aw,mayer hater ranna ghor
u2np,9 chef
t5tg,ma babar dua
w3jv,zayan's kitchen
t2er,shahi bhoj restaurant
u3xu,new ali shaha hotel & fuchka house - agrabad
u5es,gourmet foods
r0gl,bikrompur beef house
t3sg,sandwich mama- 10
s1tz,nostalgic reload
j4ac,food house 45
t3dn,salt and sugar
h0vt,bondhu fast food & juice corner
u4zr,akhi's kitchen - bashundhara r/a
s9hy,mr. chap
u0vq,grand burg
s3ft,broosters
h6oo,robej sobhanbag
u5gv,chatgaiya's cravings
t6kz,mim shahi halim
t4cd,eat lovers
t3cn,bangla restora
a8im,bepari biryani ghor
r8xm,anu’s kitchen
u9nc,anas kitchen
t6rd,khaliler misti - tetultola
u6gx,flavours 101
u2vz,metro cafe town
t3hk,misti ghor
s3gm,khawar adda
t9hu,enamul mama'r fuchka & chotpoti
u7pv,food nation
u0nv,secret kitchen -
x3uv,rosui ghor
t2oy,burger inn - lalbagh
t4zf,mr kacchi
m0xb,noyon choyon ghosh dairy
t3tt,nanna biriyani - dhanmondi
s7jb,thali - house of spices
u6zv,razzak biryani house
s1bn,tea bazaar
s6nk,coffee beans and leafs
u8nh,shreeanu healthy food corner
s7hy,beatles cafe
m3ki,siam hotel
u1vk,ghorowa cafe
u2zt,arab bar-b-q & restraunt
t4ao,choroi vati
t6ns,bagat ghosh mistanno vandar
m9rc,chef's tong bd
u6qy,nusrat's signature
v1mc,pizza store - mirpur
t2xl,kandakar chinese restaurant
u1go,himel's kitchen
u8zn,tipsy pineapple - niketan
r1pn,saddam's kitchen
u0oj,new bismillah restora
c5vy,ali's kitchen -
t5oi,recipe.com
r2wu,home made cook
u2jc,uttoron food corner
t0vw,take n bite
u6ns,the one kitchen
t5rg,sweets heaven - kalachadpur
t2cr,heo-fry zone - 3
r6qo,dandee pizza
s6kr,coffee adda
s5qf,pushpadum restaurant & party center
t8sw,kismot biryani house
v9ox,bhaat bhorta restora
s5da,street 11
u1sx,rahmania biryani house
u0cn,mayer dowa bakorkhoni
n2ji,cakes creation by anika
t2ec,chocolate express
u4mu,amzad er chop & tikiya
s3qw,sultan lounge & restaurant
t2hs,taste & best burger & chicken house
u1ss,magician bd
t2qy,addabuzz cafe
s2sg,flat 365
u9hq,chatga sons
t2rt,oasis live kitchen
t5ln,food lover zone - farmgate
u4nr,pubg food corner
u9kf,popy's kitchen
s7uc,cafe-burg
u9tu,aappayon food service
t3fg,liton fol vandar
t6lt,the burger point - moghbazar
q1qx,khas habib chotpoti
u9jn,dilruba's kitchen
t6rn,al - amin hot cake
s4br,90's cafe
u0bg,radhuni kitchen
u3lx,allah'r dan chotpoti house
u5sn,afc food gallery
u0ns,mr. cook & shafe kacchi
t5fx,habibiya restaurant
t9rb,mexican bite
t0du,buzzz cafe
u1kt,jj jinat restaurant
u0mt,allah'r daan hotel -
u3nc,mayer heshel - mirpur
u3hx,kolapata - kamrangirchar
u5mk,nirob hotel & restaurant -
s1db,burger station mohammadpur
s6nv,food clan
u2kg,narzish food
s3st,onnobilash
t3fn,sharif grill chicken and ruti ghor
u3tp,the cakesmith
t0mt,chocolatics
t3qu,de mm pasta cafe
x1pt,dhanmondi burger house
t6hd,sumon's kabab zone
u2bi,poco cafe
s6va,cafino
u4wp,khabar ghor -
u2uc,chill out foodie
s7tw,ariba juice corner
t9nn,karu food corner
t9kc,tbf
y0di,foodvilla - rampura
s0yg,food avenue
t0rn,pizza bazar
z5oy,sarker delicious
s5bx,nasah petals
u7io,dishkoi mega kitchen
u7cx,ferdou's biryani house
u3id,food siesta
u0jt,dadu natni chotpoti house
u3xd,kitchen crumbs
s5jf,smt food corner
t5fa,preety chotpoti house
t2ac,new cricket ground cafe
u3fn,yumm minion
u9jt,ghorer khabar -
s0ab,lal qilla restaurant & kabab house
t3gm,al insaf hotel & restaurant
f0ho,alpha
u7rl,food adda - badda
s4fp,century's sweets & baker
t9zb,nur nobi restaurant
x7ut,bangali bari -
u3eo,family's dine - mirpur
t7cb,haji departmental
u3ux,tamasha kitchen
s3oa,fidato's kitchen
t5xc,k k hotel & restaurant
u8yy,rawnaq's kitchen
n5rp,safe food zone
u1lc,zana's mezbani
s9tu,soul food
k3za,mira's kitchen
s2ta,delhi da dhaba
z9gq,alisha food corner
t8ey,heo-biryani
t7jt,muslim biryani house & restaurant
u1tv,hotel dal-bhat daawat
s1ok,pie top restaurant
s3vj,baklava
s6uu,amarin restaurant
e4jw,nadia's kitchen
u9uf,homemade pastry
s7wl,royal food - mohakhali
s7nb,city food
t0pe,cafe queen
u8hg,the momo bite
u9xe,jom jom sweets & bakery
t5rj,food bank fast food
v7ra,fiona's
t2bt,taqwa food corner
u8wp,fuchka and chotpoti crush
t5ua,chaapaiya
k9fs,star kitchen
s9vp,flavouri snacks & dessert
u8sm,kanok's kitchen
j5sp,new kashmiri biryani house
x4yj,cafe adda & restaurant -
u8zo,murg mussalam
t0uv,al karim
s5dw,transit restaurant
z7jw,jr7 restora
tpkm,sweet & salt 1
c6pk,nanyang kopitiam
s8kz,cafe notredamians
v7lz,western food corner - jatrabari
t6xe,the burger shop
u3ej,aanya cake parlour
x6oe,shahi nanna biryani house - goran
u5ea,cox bazar sea food
u5mx,lizar tok jhal misti achar
t7mg,tomatizza
u2ip,hotel rain
k2su,new food corner
i7zh,nobab home kitchen
u1ew,burger time - mohammadpur
s4mp,star coffee and food
u5ol,sora mini chinese & thai restaurant
s4gw,crazy dine
